neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,beds,bath
North Center,41.95931,-87.67795,Entire home/apt,223,2,87,0.83,1,172,8,4.98,3,3,1
Lower West Side,41.84828,-87.68021,Private room,82,2,183,1.63,3,316,22,4.95,1,1,1.5
South Lawndale,41.85436,-87.69681,Private room,52,32,23,0.27,8,63,7,4.87,1,1,1
Kenwood,41.80239,-87.60244,Private room,55,2,52,0.47,16,209,17,4.90,1,1,1
Near North Side,41.90317,-87.63392,Entire home/apt,79,32,7,0.08,6,0,0,4.83,1,1,1
Armour Square,41.85565,-87.63322,Private room,33,32,11,0.19,1,303,0,4.55,1,1,0
South Lawndale,41.85276,-87.69828,Private room,79,32,16,0.19,8,41,3,4.94,1,1,1
Lake View,41.94594,-87.65431,Private room,258,1,60,0.54,5,193,1,4.46,1,4,11
South Lawndale,41.85442,-87.69695,Private room,50,9,23,0.25,8,51,9,4.65,1,1,1
Irving Park,41.95501,-87.73814,Private room,107,32,131,1.27,1,90,8,4.64,2,2,1
Lincoln Park,41.91775,-87.65508,Private room,61,32,213,2.15,1,47,47,4.54,1,1,1
West Town,41.9116,-87.66693,Entire home/apt,237,32,307,2.95,5,341,2,4.61,2,6,2
Lake View,41.94594,-87.65431,Shared room,52,1,408,3.94,5,195,55,4.52,1,10,11
West Town,41.90798,-87.68158,Entire home/apt,148,32,166,1.46,2,0,1,4.58,1,1,1
Grand Boulevard,41.81436,-87.61289,Private room,135,32,31,0.32,1,355,3,4.97,3,3,2.5
West Town,41.89634,-87.65608,Entire home/apt,251,2,469,4.16,24,321,36,4.91,3,4,2
Near West Side,41.88209,-87.65127,Entire home/apt,152,5,68,0.64,1,26,15,4.94,2,2,1.5
West Town,41.90376,-87.69556,Entire home/apt,90,32,160,1.55,1,182,1,4.79,2,2,1
West Garfield Park,41.87669,-87.72146,Entire home/apt,103,1,478,4.78,1,289,34,4.85,3,3,1
Uptown,41.95904,-87.64822,Entire home/apt,233,2,66,0.67,1,25,15,4.78,2,2,1
West Town,41.900188,-87.661751,Private room,100,32,29,0.28,1,310,12,4.86,1,2,1
Lincoln Square,41.96316,-87.69208,Entire home/apt,90,2,249,2.23,1,68,28,4.76,1,1,1
East Garfield Park,41.8867,-87.70783,Entire home/apt,69,3,182,1.86,2,275,30,4.64,0,3,1
West Town,41.90006,-87.68096,Entire home/apt,149,32,177,1.57,2,141,11,4.80,1,1,1.5
West Town,41.88987,-87.68237,Entire home/apt,214,32,31,0.35,3,1,0,4.84,1,1,1.5
Washington Park,41.79606,-87.62382,Private room,82,2,104,0.93,1,335,12,4.77,1,1,1.5
Albany Park,41.96109,-87.72917,Entire home/apt,79,32,17,0.22,1,42,3,4.75,1,1,1
Lake View,41.93955,-87.65904,Private room,99,2,294,2.96,1,301,43,4.89,1,1,1
Logan Square,41.92125,-87.70158,Private room,59,3,113,1.13,2,264,17,4.81,1,2,1
Logan Square,41.92286,-87.70154,Private room,56,3,68,0.66,2,263,7,4.87,1,2,1
Lower West Side,41.85669,-87.65132,Private room,79,32,246,2.19,1,135,1,4.89,1,1,1
Near North Side,41.89862,-87.62138,Entire home/apt,150,32,8,0.08,74,322,1,4.0,2,2,2
South Lawndale,41.85295,-87.70686,Private room,45,32,7,0.07,4,179,0,3.67,1,1,1.5
Near West Side,41.88668,-87.64266,Entire home/apt,185,360,0,,74,348,0,0,2,2,2
Near South Side,41.85226,-87.62299,Entire home/apt,145,60,16,0.14,74,348,0,4.92,1,2,1
Lake View,41.94207,-87.64757,Entire home/apt,105,32,65,0.67,1,0,0,5.0,1,1,1
West Town,41.90992,-87.67521,Private room,149,32,66,0.66,2,331,12,4.80,1,1,1.5
Hermosa,41.93483,-87.74135,Private room,40,32,59,0.59,2,325,6,4.72,1,1,1
Loop,41.88765,-87.61765,Entire home/apt,160,32,25,0.22,74,317,0,4.71,1,1,1
Near South Side,41.85255,-87.62121,Entire home/apt,200,120,6,0.05,74,353,0,4.25,2,1,2
Mckinley Park,41.82983,-87.67544,Entire home/apt,52,2,147,1.71,1,311,33,4.63,1,2,1
Uptown,41.97106,-87.66777,Hotel room,542,3,87,0.86,11,197,12,4.93,2,2,0
Douglas,41.83674,-87.62086,Private room,86,32,299,3.02,1,21,27,4.86,1,1,1
West Town,41.90596,-87.67569,Entire home/apt,144,32,148,1.47,1,322,28,4.75,1,1,1
Uptown,41.97095,-87.66798,Entire home/apt,683,3,27,0.27,11,189,0,4.89,3,3,2
West Town,41.91387,-87.67182,Entire home/apt,188,1,138,1.95,2,89,10,4.72,3,8,2
Loop,41.87132,-87.63146,Entire home/apt,200,360,3,0.03,74,353,0,5.0,2,2,2
Lake View,41.93308,-87.6511,Entire home/apt,299,2,152,2.16,1,172,4,4.77,3,3,1
Uptown,41.97106,-87.66777,Private room,368,3,38,0.37,11,181,6,4.97,1,2,1
West Ridge,42.01653,-87.68788,Shared room,27,1,173,1.76,16,0,9,4.75,1,1,2
North Center,41.94614,-87.68242,Entire home/apt,263,32,32,0.33,23,328,11,4.94,3,3,2
Lincoln Park,41.91233,-87.65146,Private room,120,2,298,2.95,1,266,42,4.92,1,1,1
Near South Side,41.85361,-87.62434,Entire home/apt,131,32,16,0.15,74,316,1,4.81,1,2,1
Uptown,41.97183,-87.66786,Private room,368,3,6,0.06,11,181,1,4.67,2,1,1
Morgan Park,41.68451,-87.67925,Entire home/apt,79,7,158,1.43,2,101,19,4.82,1,4,1
West Town,41.90637,-87.68954,Private room,67,1,242,2.38,3,45,22,4.72,1,1,1
Uptown,41.97106,-87.66777,Private room,542,3,20,0.2,11,195,0,4.85,2,2,2
Grand Boulevard,41.80944,-87.61664,Entire home/apt,121,32,29,0.32,2,365,2,4.38,1,2,1
Kenwood,41.81076119906218,-87.6044862089418,Entire home/apt,108,2,46,0.42,2,343,9,4.76,1,2,1
Morgan Park,41.68451,-87.67913,Entire home/apt,133,5,150,1.51,2,110,7,4.80,1,4,1
Lake View,41.93886,-87.65391,Entire home/apt,165,2,353,3.6,1,285,60,4.83,2,2,1
Near South Side,41.85247,-87.62204,Entire home/apt,200,60,8,0.07,74,291,0,4.57,2,2,2
Dunning,41.9443,-87.79831,Private room,45,32,29,0.26,2,304,1,4.79,1,1,1
Pullman,41.687,-87.6076,Private room,50,32,7,0.07,1,0,0,4.57,1,1,1
Grand Boulevard,41.81214,-87.61328,Entire home/apt,146,32,24,0.24,2,291,0,4.67,1,1,1
North Center,41.94815,-87.68459,Private room,86,2,452,4.57,1,254,64,4.96,1,3,1
Near North Side,41.89295,-87.62217,Entire home/apt,275,2,335,3.36,2,148,39,4.98,2,2,1
Near South Side,41.85434,-87.62194,Entire home/apt,135,32,7,0.07,74,327,0,4.67,1,2,1
Portage Park,41.95993,-87.74773,Entire home/apt,82,32,15,0.15,8,363,4,4.60,2,2,2
Near North Side,41.89098,-87.62238,Entire home/apt,155,100,5,0.05,74,352,0,5.0,1,1,1
West Town,41.89288,-87.68458,Entire home/apt,84,32,159,1.43,3,249,3,4.91,1,1,1
West Town,41.89492,-87.65926,Private room,91,1,222,2.58,4,101,55,4.86,1,1,1.5
West Town,41.89998,-87.69244,Private room,114,32,189,1.86,1,132,1,4.92,1,1,2
Near West Side,41.88796,-87.6445,Entire home/apt,279,32,46,0.47,1,90,0,4.67,2,2,1
Logan Square,41.92026,-87.67979,Entire home/apt,175,32,5,0.06,1,113,0,5.0,3,3,3
West Town,41.90026,-87.66871,Entire home/apt,209,2,218,2.67,2,199,47,4.92,2,2,2
North Center,41.94078,-87.68115,Entire home/apt,251,2,35,0.4,23,358,6,4.69,3,3,2
Near West Side,41.88445,-87.65146,Private room,136,6,73,0.67,1,242,8,4.92,1,1,1
West Town,41.8911,-87.66947,Entire home/apt,5000,32,0,,1,364,0,0,3,4,3.5
Avondale,41.94165,-87.71665,Private room,85,32,153,1.55,1,0,0,4.41,1,1,0
West Town,41.90451,-87.67943,Private room,63,2,177,1.85,2,0,23,4.89,1,1,1
West Town,41.90434,-87.67967,Private room,71,2,264,2.62,2,260,40,4.91,1,1,1
Washington Park,41.78591,-87.62264,Private room,63,32,58,0.59,2,0,0,4.45,1,1,1
Humboldt Park,41.908515,-87.709857,Entire home/apt,65,32,305,3.1,2,349,36,4.67,2,3,1
North Center,41.9435,-87.67674,Entire home/apt,234,2,50,0.55,23,354,9,4.86,2,3,1
Dunning,41.94222259521485,-87.79497528076172,Private room,125,5,25,0.3,3,234,6,4.72,2,3,1
Edgewater,41.97654,-87.66111,Private room,127,2,355,5.24,1,131,56,4.97,1,1,1
West Town,41.89329,-87.68574,Entire home/apt,107,2,432,4.34,3,112,53,4.88,1,1,1
West Town,41.89053,-87.68084,Entire home/apt,179,30,73,0.73,3,352,0,4.92,1,2,2
Lincoln Square,41.96857,-87.69577,Entire home/apt,97,3,214,2.24,1,287,29,4.84,0,1,1
West Town,41.90168,-87.693,Entire home/apt,170,3,214,2.15,1,293,34,4.91,2,2,2
Logan Square,41.92902,-87.72025,Private room,52,32,18,0.18,1,0,0,4.83,1,2,1
North Center,41.9435,-87.67674,Entire home/apt,298,2,42,0.45,23,326,6,4.67,4,4,2
Hegewisch,41.65064,-87.54074,Entire home/apt,129,32,41,0.42,8,337,0,4.78,2,2,1
West Town,41.90921,-87.67849,Entire home/apt,200,2,0,,1,0,0,0,2,2,2
South Lawndale,41.85232,-87.69652,Entire home/apt,295,32,2,0.09,8,0,1,0,3,3,1
Near North Side,41.89765,-87.62176,Entire home/apt,220,32,4,0.09,74,310,0,5.0,2,2,2
North Center,41.94812,-87.68333,Private room,79,2,164,1.7,1,240,29,4.95,1,1,1
