neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,beds,bath
West Town,41.90312,-87.68846,Entire home/apt,250,180,0,,74,353,0,0,3,3,2.5
Lake View,41.94473,-87.65602,Entire home/apt,470,2,16,2.35,1,146,16,5.0,3,5,3
Lincoln Park,41.9265729,-87.6513112,Shared room,31,32,0,,6,124,0,0,1,1,1.5
Uptown,41.96215,-87.65365,Entire home/apt,259,32,0,,1,165,0,0,1,2,1
Near West Side,41.87481229999999,-87.68987849999999,Entire home/apt,217,1,7,0.89,3,363,7,5.0,2,2,2
Loop,41.8818,-87.63097,Entire home/apt,543,2,13,1.95,46,343,13,4.92,2,2,2
Lower West Side,41.85934,-87.67088,Entire home/apt,132,3,10,1.05,1,142,10,4.80,1,1,1
Bridgeport,41.845586,-87.642927,Entire home/apt,116,1,18,2.08,1,320,18,4.17,3,3,2
Loop,41.8860812,-87.63422229999998,Entire home/apt,162,32,0,,655,312,0,0,1,1,1
Logan Square,41.91914,-87.6767,Entire home/apt,121,2,2,0.24,39,341,2,0,1,2,1
Lower West Side,41.85773,-87.66541,Entire home/apt,116,1,27,2.93,5,140,27,4.74,2,2,1
Near South Side,41.8555,-87.6249,Entire home/apt,163,2,24,2.6,70,357,24,4.79,0,2,1
Bridgeport,41.83700611545236,-87.6506780011524,Entire home/apt,114,1,56,5.83,6,294,56,4.96,2,1,1
Lake View,41.9330454,-87.6686985,Entire home/apt,119,32,0,,2,231,0,0,2,2,1
West Town,41.90415,-87.68843,Entire home/apt,211,2,28,3.44,1,221,28,4.96,3,4,2
Lake View,41.9345,-87.65236,Entire home/apt,59,1,36,3.96,8,149,36,4.92,0,1,1
Lincoln Park,41.93123,-87.64734,Entire home/apt,322,2,23,3.48,1,196,23,4.78,3,5,2
Greater Grand Crossing,41.7540293,-87.6185801,Private room,28,1,5,0.54,1,168,5,4.20,1,1,1
Lincoln Park,41.93154,-87.65736,Entire home/apt,58,2,20,2.15,39,320,20,4.45,2,5,2
Lower West Side,41.85628,-87.65344,Entire home/apt,785,2,0,,4,86,0,0,3,6,2.5
Jefferson Park,41.97564,-87.7856,Private room,53,1,18,2.4,3,300,18,4.89,1,2,1
Near North Side,41.90854,-87.63313,Entire home/apt,208,1,23,3.63,1,46,23,4.83,2,2,2
Dunning,41.94818129999999,-87.798254,Entire home/apt,103,3,4,1.22,1,314,4,4.75,2,4,1
Edgewater,41.9887141,-87.66113779999999,Entire home/apt,208,1,26,2.72,1,324,26,4.73,3,3,1
West Town,41.89367,-87.65765,Private room,115,28,3,0.91,1,302,3,4.0,1,1,1
Near West Side,41.88527,-87.66305,Entire home/apt,344,32,1,0.12,38,365,1,0,1,1,1
Bridgeport,41.83562209999999,-87.64702369999999,Entire home/apt,97,2,17,2.31,1,28,17,4.94,2,3,1
Near North Side,41.898422902393136,-87.62528864400903,Entire home/apt,151,1,14,4.24,1,299,14,4.79,0,1,1
Logan Square,41.927101,-87.7043588,Entire home/apt,179,32,0,,655,39,0,0,0,1,1
Logan Square,41.91856211623753,-87.68134024332034,Private room,68,2,24,5.33,1,51,24,4.71,1,1,1
West Town,41.89338,-87.65724,Entire home/apt,129,1,15,1.76,8,121,15,4.60,4,5,2
Near North Side,41.8958461,-87.6379709,Private room,105,1,1,0.7,13,152,1,0,1,1,1
Near North Side,41.90479,-87.63015,Entire home/apt,544,2,10,1.33,46,353,10,4.70,2,2,2
Montclare,41.93291,-87.7927,Entire home/apt,203,2,27,2.82,1,156,27,4.96,2,2,2
Near North Side,41.8958461,-87.6379709,Private room,94,1,5,0.58,13,170,5,4.80,1,1,1
Near North Side,41.8958461,-87.6379709,Private room,108,1,1,0.81,13,145,1,0,1,1,1
Near North Side,41.8958461,-87.6379709,Private room,96,1,14,1.62,13,137,14,4.93,1,1,1
Norwood Park,41.9770732,-87.8228609,Entire home/apt,183,2,47,6.47,1,295,47,4.98,3,5,1.5
North Center,41.95353,-87.6756,Entire home/apt,60,1,27,3.12,8,162,27,4.78,1,1,1
Logan Square,41.91969430233245,-87.69740047580635,Private room,72,2,5,3.66,1,249,5,5.0,1,1,1
West Ridge,41.99905,-87.70738,Entire home/apt,62,2,51,5.31,15,346,51,4.59,1,1,1
Washington Park,41.78723,-87.62111,Entire home/apt,279,1,12,1.9,2,337,12,4.92,3,3,2.5
Near North Side,41.8958461,-87.6379709,Private room,96,1,2,0.65,13,155,2,0,1,1,1
Near West Side,41.881,-87.6477,Entire home/apt,255,32,0,,8,36,0,0,1,1,1
Near North Side,41.8958461,-87.6379709,Private room,96,1,1,1.0,13,162,1,0,1,1,1
Near North Side,41.8958461,-87.6379709,Private room,114,1,4,1.28,13,160,4,5.0,1,1,1
Washington Park,41.78628,-87.62104,Entire home/apt,141,1,1,0.19,2,289,1,0,1,1,1
Avondale,41.93414,-87.71687,Entire home/apt,103,1,16,1.95,8,169,16,4.94,3,3,2
Near South Side,41.86350729999999,-87.62375089999999,Entire home/apt,135,32,0,,655,273,0,0,1,1,1
East Garfield Park,41.88619389999999,-87.70511859999999,Entire home/apt,456,2,33,3.99,4,323,33,4.97,4,11,2.5
West Town,41.9022,-87.67444,Entire home/apt,71,32,0,,1,216,0,0,1,2,1
Near South Side,41.85587,-87.6232,Entire home/apt,271,2,26,2.85,70,354,26,4.85,2,3,2
Lake View,41.94517299999999,-87.641759,Entire home/apt,239,32,0,,655,292,0,0,1,1,1
Near North Side,41.8958461,-87.6379709,Private room,96,1,9,2.25,13,163,9,4.67,1,1,1
Near North Side,41.8958461,-87.6379709,Private room,96,1,1,1.0,13,169,1,0,1,1,1
Lincoln Square,41.97563,-87.68725,Entire home/apt,117,1,44,4.84,6,277,44,4.93,2,2,1
Near North Side,41.90451,-87.63191,Entire home/apt,561,2,11,1.71,46,357,11,4.64,2,2,2
Near North Side,41.8958461,-87.6379709,Private room,96,1,6,1.7,13,154,6,4.50,1,1,1
Near West Side,41.8763,-87.65371999999999,Entire home/apt,124,32,1,0.35,655,334,1,0,0,1,1
Washington Heights,41.7270344,-87.6437414,Entire home/apt,110,32,0,,1,365,0,0,2,2,1
Rogers Park,42.01673,-87.66499,Entire home/apt,160,2,6,0.76,39,343,6,5.0,2,3,1
South Chicago,41.75078,-87.55723,Entire home/apt,126,2,10,1.19,3,351,10,4.80,2,3,1
Irving Park,41.95187,-87.7324,Entire home/apt,175,2,19,2.13,1,240,19,4.89,1,1,1
North Lawndale,41.85428,-87.73025,Entire home/apt,106,2,4,4.0,1,225,4,4.50,2,2,1
Near North Side,41.8958461,-87.6379709,Private room,96,1,0,,13,165,0,0,1,1,1
Near North Side,41.8958461,-87.6379709,Private room,96,1,2,1.67,13,161,2,0,1,1,1
Loop,41.8860812,-87.63422229999998,Entire home/apt,146,32,0,,655,264,0,0,1,1,1
Loop,41.8860812,-87.63422229999998,Entire home/apt,191,32,0,,655,355,0,0,0,1,1
Near North Side,41.8958461,-87.6379709,Private room,101,1,2,0.36,13,149,2,0,1,1,1
Logan Square,41.927101,-87.7043588,Entire home/apt,252,32,1,0.21,655,355,1,0,1,1,1
West Town,41.89389,-87.6626,Private room,55,30,2,0.3,5,60,2,0,1,1,1
Near West Side,41.8850096,-87.6440271,Entire home/apt,161,32,0,,655,213,0,0,1,1,1
Near North Side,41.90217,-87.63366,Entire home/apt,1124,2,18,2.13,40,307,18,4.89,5,6,3.5
Near West Side,41.8850096,-87.6440271,Entire home/apt,203,32,0,,655,265,0,0,1,1,1
Near North Side,41.90254,-87.6336,Entire home/apt,112,32,3,0.36,2,163,3,5.0,1,1,1
Near North Side,41.890516,-87.635955,Entire home/apt,182,32,0,,655,0,0,0,0,1,1
West Town,41.89437,-87.66289,Private room,109,2,0,,5,56,0,0,1,1,1
Lake View,41.95427,-87.66976,Entire home/apt,100,1,9,1.41,24,359,9,4.67,0,1,1
Near South Side,41.86350729999999,-87.62375089999999,Entire home/apt,138,32,0,,655,314,0,0,1,1,1
Uptown,41.968709618900434,-87.65091084700872,Entire home/apt,250,32,0,,2,0,0,0,4,4,3
Lake View,41.94602,-87.6579,Private room,56,2,21,2.43,3,168,21,4.71,1,1,1
Near North Side,41.89814,-87.6303,Entire home/apt,827,2,14,1.67,46,331,14,4.93,2,2,2
Douglas,41.82842,-87.62865,Entire home/apt,97,32,0,,39,198,0,0,5,6,3.5
Lake View,41.9457,-87.65767,Private room,59,2,26,3.06,3,55,26,4.69,1,1,1
Lake View,41.9441,-87.65939,Private room,55,2,20,2.31,3,162,20,4.90,1,1,1
Irving Park,41.95958,-87.72937,Entire home/apt,82,1,9,1.07,8,173,9,4.33,2,2,1
Near West Side,41.8599731973079,-87.66733754456611,Entire home/apt,585,1,0,,5,318,0,0,5,4,2
Jefferson Park,41.97648,-87.76757,Entire home/apt,484,3,26,3.32,1,152,26,4.96,5,7,4
Avondale,41.93745,-87.71629,Entire home/apt,411,1,31,3.54,2,303,31,4.90,3,4,1
Irving Park,41.95016,-87.70768,Entire home/apt,112,2,10,1.63,1,274,10,5.0,2,2,1
Lincoln Square,41.96885996475175,-87.68621509475558,Entire home/apt,93,3,15,3.75,1,160,15,5.0,1,1,1
West Town,41.91046043115699,-87.67398256197129,Entire home/apt,190,3,30,3.57,1,158,30,5.0,1,1,1
Belmont Cragin,41.92715981401366,-87.76217989737172,Entire home/apt,160,6,2,2.0,2,157,2,0,2,3,1
Roseland,41.69127,-87.62048,Private room,90,2,1,0.12,5,305,1,0,1,1,1
Near South Side,41.8670646,-87.6231114,Entire home/apt,183,32,0,,655,186,0,0,1,1,1
Edgewater,41.99372159999999,-87.6600059,Entire home/apt,248,32,0,,655,204,0,0,2,2,1
Lake View,41.94382,-87.64979,Entire home/apt,80,1,26,2.97,8,157,26,4.85,2,2,1
Lake View,41.94214,-87.64533,Entire home/apt,108,1,30,3.73,8,103,30,4.87,2,2,1
Jefferson Park,41.97081956445021,-87.76722963899374,Entire home/apt,70,32,0,,1,322,0,0,1,1,1
Near South Side,41.85541,-87.62537,Entire home/apt,335,2,11,1.27,70,337,11,5.0,2,3,2
Near North Side,41.91045,-87.63502,Entire home/apt,433,2,9,1.28,1,100,9,5.0,1,2,1.5
Lake View,41.9345,-87.66417,Entire home/apt,400,7,0,,1,105,0,New,3,5,3.5
Loop,41.88696,-87.63263,Entire home/apt,160,32,0,,1,305,0,0,1,1,1
Lake View,41.9365,-87.64691,Entire home/apt,202,3,10,1.11,17,176,10,4.50,1,1,1
Near North Side,41.90109,-87.62646,Entire home/apt,103,3,10,1.24,39,318,10,4.40,2,4,2
Near West Side,41.8849796,-87.6611185,Entire home/apt,251,32,0,,655,198,0,0,1,1,1
Near West Side,41.885209,-87.6471114,Entire home/apt,177,32,0,,655,0,0,0,0,1,1
Near West Side,41.885209,-87.6471114,Entire home/apt,223,32,0,,655,261,0,0,2,2,2
Lincoln Park,41.9194968,-87.6629995,Entire home/apt,192,32,0,,655,302,0,0,2,2,2
Bridgeport,41.84218,-87.65266,Private room,76,2,9,1.32,19,324,9,4.33,1,1,1
West Town,41.8999672,-87.66431779999999,Entire home/apt,209,32,0,,655,320,0,0,2,2,2
South Lawndale,41.8506,-87.70024,Entire home/apt,150,3,5,0.58,3,341,5,4.20,3,3,2
Near South Side,41.85676,-87.62363,Entire home/apt,131,60,0,,3,330,0,0,1,1,1
Lincoln Square,41.97865,-87.69407,Entire home/apt,110,14,12,1.65,2,71,12,4.75,2,2,2
Bridgeport,41.84026,-87.65455,Private room,54,2,15,2.21,1,323,15,4.47,1,1,1
Dunning,41.95167987906687,-87.79735201930627,Entire home/apt,72,32,0,,1,307,0,New,1,2,1
Woodlawn,41.78321,-87.61045,Entire home/apt,89,32,3,0.34,2,332,3,3.67,2,2,1
West Town,41.9081166,-87.6699484,Entire home/apt,513,3,11,1.26,1,0,11,4.64,3,3,2
Logan Square,41.92083,-87.68783,Entire home/apt,153,1,11,1.81,1,95,11,4.82,2,2,1
West Town,41.89611,-87.681417,Entire home/apt,123,1,3,3.0,2,309,3,4.33,2,3,1
Uptown,41.9763,-87.65649,Entire home/apt,221,2,3,0.37,1,180,3,4.33,1,1,1
Irving Park,41.95991,-87.69986,Entire home/apt,184,2,42,4.72,29,73,42,4.79,2,2,1
West Town,41.900829659967776,-87.66913418678122,Entire home/apt,171,2,1,1.0,1,103,1,New,2,2,1
South Shore,41.772785356596486,-87.57343528668176,Entire home/apt,161,1,4,1.56,1,153,4,4.75,2,2,1
West Town,41.89407,-87.65409,Entire home/apt,1239,2,20,3.3,46,364,20,4.95,3,3,3
West Town,41.89392093301714,-87.65472891019647,Entire home/apt,1293,2,20,2.44,46,364,20,5.0,3,3,2.5
Roseland,41.69157,-87.61826,Private room,90,2,2,0.25,5,300,2,0,1,1,1
Rogers Park,42.00954,-87.6664,Entire home/apt,118,2,18,2.54,29,128,18,4.78,1,1,1
West Ridge,41.99949,-87.69024,Entire home/apt,123,2,23,3.65,29,107,23,4.39,2,2,2
Bridgeport,41.84052,-87.65439,Private room,56,2,17,2.74,19,317,17,4.65,1,1,1
Rogers Park,42.01692,-87.66395,Entire home/apt,130,2,24,3.4,29,138,24,4.71,2,2,1
Portage Park,41.96115,-87.75431,Entire home/apt,140,2,11,1.94,29,101,11,4.82,1,1,1
Portage Park,41.96101,-87.75603,Entire home/apt,121,2,13,1.94,29,122,13,4.85,1,1,1
Lake View,41.93441,-87.64381,Entire home/apt,159,2,13,2.2,29,136,13,4.38,1,1,1
Uptown,41.95483,-87.65245,Entire home/apt,146,2,27,3.12,3,96,27,4.81,3,3,2
Grand Boulevard,41.8182,-87.61987,Entire home/apt,137,2,12,1.61,1,233,12,4.83,3,4,1
Loop,41.8860812,-87.63422229999998,Entire home/apt,148,32,0,,655,308,0,0,1,1,1
West Town,41.89528,-87.66283,Entire home/apt,148,2,5,0.89,39,340,5,4.0,1,2,1
Bridgeport,41.84019,-87.65435,Private room,54,2,12,1.79,19,338,12,3.67,1,1,1
Near South Side,41.86543,-87.6277,Entire home/apt,216,1,43,5.2,1,32,43,4.67,2,2,2
Lincoln Park,41.92316919053128,-87.65392398827385,Entire home/apt,147,32,26,4.56,1,141,26,4.81,1,3,1
Rogers Park,42.01342,-87.66633,Entire home/apt,147,2,26,3.61,29,105,26,4.62,2,2,1
Hyde Park,41.7984532,-87.6054399,Private room,86,1,18,2.44,3,298,18,5.0,1,1,1
Bridgeport,41.84222,-87.6546,Private room,42,2,7,1.91,19,290,7,4.0,1,1,2
Near North Side,41.89892,-87.63955,Entire home/apt,481,3,45,5.51,2,284,45,5.0,3,7,2.5
Loop,41.88032,-87.63198,Entire home/apt,696,2,13,1.55,46,358,13,4.77,2,2,2
Loop,41.87603,-87.63022,Private room,179,32,1,0.15,3,0,1,0,2,2,2
Bridgeport,41.84476313123707,-87.64028010419844,Entire home/apt,128,1,14,2.49,3,0,14,4.79,1,1,1
Grand Boulevard,41.81444684223988,-87.60904127527645,Entire home/apt,545,2,6,1.22,1,329,6,4.67,4,4,3.5
West Englewood,41.79241376989064,-87.67217220986258,Private room,39,2,10,1.78,6,347,10,4.70,1,11,1
Bridgeport,41.84055,-87.65456,Private room,39,2,7,1.36,19,330,7,4.29,1,1,2
Douglas,41.84524,-87.62685,Private room,90,1,4,0.49,3,292,4,5.0,1,1,1
Bridgeport,41.84312,-87.64062,Entire home/apt,95,2,28,3.27,2,128,28,4.75,2,2,1
Roseland,41.69206,-87.62032,Entire home/apt,136,2,13,1.59,5,303,13,4.38,4,5,1
Chatham,41.74611,-87.61163,Entire home/apt,299,32,0,,4,90,0,0,5,7,3.5
Clearing,41.78081,-87.78187,Entire home/apt,549,32,0,,4,90,0,0,4,5,2
Bridgeport,41.83768,-87.65824,Entire home/apt,77,32,2,0.28,34,330,2,0,2,2,1
Bridgeport,41.83807,-87.65802,Entire home/apt,99,32,4,0.54,34,277,4,5.0,2,2,1
Roseland,41.69182,-87.61842,Private room,90,2,0,,5,300,0,0,1,1,1
Montclare,41.92487,-87.79417,Entire home/apt,123,32,1,1.0,5,118,1,0,0,1,1
Montclare,41.93471,-87.79489,Entire home/apt,60,2,17,2.68,5,34,17,4.76,1,1,1
Norwood Park,41.97526,-87.80537,Entire home/apt,549,32,0,,4,90,0,0,5,6,2
Roseland,41.6927,-87.61833,Private room,90,2,1,0.16,5,300,1,0,1,2,1
Albany Park,41.96374,-87.72778,Private room,78,1,8,1.07,1,283,8,5.0,1,1,1
Avondale,41.94024,-87.71737,Entire home/apt,70,32,2,0.27,2,313,2,0,2,4,1
Near South Side,41.8670646,-87.6231114,Entire home/apt,248,32,0,,655,69,0,0,1,1,1
Near West Side,41.8806434,-87.6487655,Entire home/apt,248,32,0,,655,58,0,0,0,1,1
Near South Side,41.8670646,-87.6231114,Entire home/apt,266,32,0,,655,0,0,0,2,2,2
Near South Side,41.86673,-87.62499,Entire home/apt,157,32,0,,3,291,0,0,2,2,2
Portage Park,41.94281,-87.76544,Entire home/apt,97,32,0,,3,71,0,0,2,2,1
Austin,41.91239,-87.74966,Entire home/apt,81,2,21,2.36,1,152,21,4.71,1,1,1
West Town,41.89934176767939,-87.67189646681244,Private room,102,1,8,2.64,1,45,8,5.0,1,1,1
Douglas,41.83167,-87.61827,Private room,57,2,12,1.5,7,168,12,4.92,1,1,1.5
Near West Side,41.8849796,-87.6611185,Entire home/apt,197,32,0,,655,0,0,0,0,1,1
Near South Side,41.8670646,-87.6231114,Entire home/apt,142,32,0,,655,315,0,0,0,1,1
Near North Side,41.8925035,-87.61628259999999,Entire home/apt,208,32,0,,655,282,0,0,1,1,1
Gage Park,41.80383750000001,-87.6864353,Private room,80,32,4,0.48,1,363,4,3.75,1,2,1
Brighton Park,41.81583,-87.69155,Entire home/apt,75,2,17,1.91,1,195,17,4.24,2,2,1
Lake View,41.945241,-87.655353,Entire home/apt,137,32,0,,1,321,0,0,3,5,1
Edgewater,41.97862,-87.6663,Entire home/apt,185,2,29,3.57,1,298,29,5.0,2,2,1
Bridgeport,41.84333,-87.64006,Entire home/apt,76,2,18,2.11,2,142,18,4.78,1,1,1
Near South Side,41.86350729999999,-87.62375089999999,Entire home/apt,170,32,1,1.0,655,0,1,0,1,1,1
Loop,41.8772287,-87.6290111,Entire home/apt,153,32,0,,655,289,0,0,2,2,1
East Side,41.70631,-87.53875,Private room,26,8,10,1.34,5,139,10,4.70,1,1,1
Loop,41.87538,-87.63032,Private room,140,2,0,,3,2,0,0,1,2,1
Uptown,41.97424,-87.65141,Entire home/apt,134,1,4,0.66,1,288,4,4.50,1,1,1
Douglas,41.84536,-87.62607,Entire home/apt,188,3,7,0.86,39,18,7,4.29,2,2,2
Loop,41.87527,-87.62864,Private room,399,32,0,,3,0,0,0,1,2,1
Dunning,41.951923454969645,-87.81081014296915,Entire home/apt,82,6,0,,1,189,0,New,2,3,1
Dunning,41.93966,-87.78428,Entire home/apt,91,1,28,3.33,1,11,28,4.89,1,1,1
Loop,41.8860812,-87.63422229999998,Entire home/apt,153,32,0,,655,318,0,0,1,1,1
Kenwood,41.81516,-87.60593,Entire home/apt,208,3,11,1.27,2,311,11,5.0,3,3,2
Near North Side,41.9082,-87.63016,Entire home/apt,199,32,2,0.53,6,265,2,0,1,1,1
Loop,41.87144,-87.633,Entire home/apt,115,32,2,0.83,1,91,2,0,1,1,1
Lake View,41.9562,-87.66832,Entire home/apt,300,32,8,0.92,24,365,8,4.63,0,1,1
Clearing,41.77784,-87.77309,Entire home/apt,399,32,0,,4,90,0,0,5,6,2
Englewood,41.78964,-87.63319,Entire home/apt,78,2,13,1.77,3,96,13,4.23,1,3,1
Edgewater,41.97748,-87.66273,Entire home/apt,98,1,31,3.6,8,150,31,4.87,2,2,1.5
Edgewater,41.98518439785191,-87.65652684714198,Entire home/apt,106,1,10,1.79,1,3,10,5.0,1,1,1
Logan Square,41.92608,-87.72502,Entire home/apt,124,32,9,1.13,1,150,9,4.0,2,2,1
West Town,41.9080251,-87.6886885,Entire home/apt,166,2,15,1.83,2,325,15,4.93,2,4,1
Near North Side,41.89784,-87.63887,Entire home/apt,154,2,36,4.24,39,302,36,4.86,3,5,2.5
Bridgeport,41.8377,-87.66143,Private room,84,1,5,0.61,6,346,5,4.60,1,1,1
Bridgeport,41.83786,-87.65967,Private room,56,1,6,0.71,6,347,6,4.67,1,1,1
Uptown,41.96092441838484,-87.66058660077128,Private room,141,2,2,2.0,1,114,2,0,1,1,1
Norwood Park,41.98044,-87.80547,Entire home/apt,93,2,25,3.14,1,168,25,4.68,1,2,1
Douglas,41.8415404,-87.6164623,Entire home/apt,139,1,19,2.19,1,317,19,4.63,1,1,1
Lincoln Park,41.92986,-87.64647,Entire home/apt,183,2,1,0.15,2,19,1,0,2,3,1
Logan Square,41.93189107870243,-87.7115522200512,Entire home/apt,640,2,6,3.0,1,240,6,5.0,4,8,3.5
Near West Side,41.88127,-87.65377,Entire home/apt,351,3,13,3.94,7,280,13,4.92,2,2,1
Portage Park,41.939344,-87.7586891,Entire home/apt,199,2,2,2.0,1,357,2,New,2,3,1
Uptown,41.95502,-87.64987,Entire home/apt,315,1,17,1.93,24,362,17,4.71,0,1,1
Hermosa,41.92033786167793,-87.73728299274495,Entire home/apt,103,2,16,4.53,1,336,16,4.94,2,2,1
Near West Side,41.885209,-87.6471114,Entire home/apt,369,32,0,,655,235,0,0,2,2,2
Edgewater,41.9950896,-87.6626404,Entire home/apt,230,2,26,3.84,1,286,26,5.0,3,3,1
Grand Boulevard,41.81072,-87.62671,Entire home/apt,140,2,3,3.0,1,287,3,5.0,2,2,1
Near West Side,41.8850096,-87.6440271,Entire home/apt,197,32,0,,655,306,0,0,1,1,1
Avondale,41.9333289,-87.714925,Private room,136,1,15,1.88,1,338,15,5.0,1,2,1
Bridgeport,41.82716,-87.64611,Private room,38,1,33,4.29,3,16,33,4.70,1,1,1
Loop,41.885569,-87.63473669999996,Entire home/apt,151,32,0,,655,292,0,0,1,1,1
Lincoln Park,41.92581,-87.65021,Shared room,35,32,0,,6,125,0,0,1,4,1.5
Near South Side,41.8634989,-87.62704269999999,Entire home/apt,136,32,0,,655,348,0,0,1,1,1
Near South Side,41.8634989,-87.62704269999999,Entire home/apt,308,32,0,,655,289,0,0,2,2,2
Loop,41.8676695,-87.62611919999999,Entire home/apt,143,32,0,,655,341,0,0,1,1,1
Humboldt Park,41.9111,-87.72365,Entire home/apt,127,2,31,3.58,4,166,31,4.81,3,3,1
Woodlawn,41.783921881521145,-87.60039430942268,Entire home/apt,141,1,1,1.0,1,300,1,New,2,7,2
Loop,41.8676695,-87.62611919999999,Entire home/apt,126,32,0,,655,318,0,0,1,1,1
Near North Side,41.890516,-87.635955,Entire home/apt,273,32,0,,655,286,0,0,1,1,1
Chatham,41.728,-87.60346,Entire home/apt,89,1,29,3.97,1,319,29,4.55,2,2,1
Irving Park,41.94984,-87.70603,Entire home/apt,140,33,1,0.32,2,190,1,0,2,2,1
Loop,41.88305580000001,-87.62577309999999,Entire home/apt,317,1,44,5.5,3,273,44,4.98,2,2,2
Logan Square,41.91546,-87.67319,Entire home/apt,226,3,15,1.74,2,192,15,4.87,2,3,2
Near West Side,41.8617354,-87.6573633,Entire home/apt,99,32,1,0.19,1,265,1,0,1,1,1
Lower West Side,41.85603,-87.65354,Entire home/apt,125,32,1,0.15,5,2,1,0,1,1,1
West Town,41.89189902241642,-87.65620845365463,Entire home/apt,191,1,55,7.33,6,240,55,4.89,3,3,2
Near North Side,41.89258755607515,-87.62190708157212,Entire home/apt,309,2,18,2.27,2,35,18,4.94,2,3,2
Portage Park,41.95966,-87.75836,Entire home/apt,70,1,15,1.9,8,175,15,4.87,1,1,1
Logan Square,41.93186,-87.68555,Entire home/apt,577,3,23,2.85,1,237,23,4.74,5,6,3.5
Logan Square,41.9142294,-87.70063859999999,Entire home/apt,182,3,24,3.35,5,150,24,4.88,2,2,1
Lower West Side,41.85295,-87.67883,Private room,105,1,8,0.96,1,339,8,4.63,1,2,1
East Garfield Park,41.87452072633084,-87.71041817277099,Entire home/apt,136,1,4,1.41,5,359,4,4.75,2,2,1
Bridgeport,41.83773,-87.66016,Private room,93,1,6,0.71,6,345,6,4.67,1,2,1
Logan Square,41.92645,-87.6978,Entire home/apt,90,32,2,0.48,1,236,2,0,2,2,1
Logan Square,41.919933662265535,-87.69009917724608,Entire home/apt,150,32,0,,2,360,0,0,5,5,2
Rogers Park,42.00531507010429,-87.65878658741713,Entire home/apt,205,1,24,3.21,2,256,24,5.0,2,2,2
Lake View,41.94509,-87.64714,Entire home/apt,164,2,22,2.47,3,234,22,4.82,1,1,1
South Chicago,41.73958,-87.56497,Shared room,29,32,1,0.91,17,358,1,0,1,1,1.5
Bridgeport,41.8422,-87.65404,Entire home/apt,178,32,0,,39,364,0,0,3,3,1
Irving Park,41.9554,-87.71765,Entire home/apt,138,32,0,,6,184,0,0,2,2,1
Near South Side,41.8634989,-87.62704269999999,Entire home/apt,308,32,0,,655,288,0,0,2,2,2
Lincoln Park,41.92835,-87.66384,Entire home/apt,66,2,23,2.68,39,326,23,4.74,2,4,2
North Lawndale,41.86279,-87.71634,Entire home/apt,273,1,9,1.07,1,275,9,4.44,2,3,1
Bridgeport,41.83642,-87.65799,Entire home/apt,85,32,2,0.28,34,314,2,0,2,2,1
South Shore,41.7625463,-87.589974,Entire home/apt,152,3,2,0.28,1,148,2,0,2,2,2
Near North Side,41.88877,-87.63159,Private room,122,1,50,6.49,8,234,50,4.98,1,2,1
Logan Square,41.91746295162638,-87.70227684222792,Entire home/apt,360,32,0,,2,88,0,New,3,3,2
Lincoln Park,41.9217601,-87.6648439,Entire home/apt,186,3,37,4.68,1,164,37,4.89,2,2,2
Near South Side,41.8544,-87.62332,Entire home/apt,403,2,32,3.61,70,323,32,4.81,2,3,2
Edgewater,41.99465,-87.67046,Entire home/apt,157,2,17,2.34,8,45,17,4.88,1,5,1
Irving Park,41.94946,-87.71287,Entire home/apt,356,2,11,1.4,19,358,11,4.73,3,4,1
Lake View,41.95425,-87.66991,Entire home/apt,164,1,13,1.79,24,352,13,4.46,0,1,1
Near South Side,41.85318,-87.6243,Entire home/apt,219,2,18,2.08,40,349,18,4.67,2,3,2
South Shore,41.76682,-87.56685,Entire home/apt,84,2,4,0.48,10,323,4,4.50,0,1,1
Mckinley Park,41.83460869256311,-87.68131429970505,Entire home/apt,207,1,0,,1,157,0,New,3,3,1
West Town,41.9010531,-87.663412,Entire home/apt,88,32,2,0.82,1,307,2,0,2,2,2
Bridgeport,41.83824,-87.65806,Entire home/apt,73,32,1,0.13,34,259,1,0,2,2,1
Uptown,41.9559085,-87.6507233,Entire home/apt,350,1,12,1.51,24,363,12,4.67,1,1,1
Near North Side,41.890516,-87.635955,Entire home/apt,250,32,0,,655,47,0,0,1,1,1
Woodlawn,41.77828,-87.59977,Entire home/apt,301,2,0,,2,365,0,0,2,2,2
Near North Side,41.890516,-87.635955,Entire home/apt,166,32,0,,655,306,0,0,1,1,1
Lower West Side,41.85725,-87.6614,Entire home/apt,68,32,2,0.71,34,313,2,0,1,1,1
Lincoln Park,41.9194968,-87.6629995,Entire home/apt,194,32,0,,655,357,0,0,1,1,1
Near North Side,41.890516,-87.635955,Entire home/apt,249,32,0,,655,195,0,0,0,1,1
Humboldt Park,41.9098,-87.71447,Entire home/apt,259,2,36,4.68,8,66,36,4.92,4,5,1
Loop,41.885569,-87.63473669999996,Entire home/apt,244,32,0,,655,302,0,0,1,1,1
Douglas,41.84161,-87.61597,Entire home/apt,100,2,26,3.58,1,29,26,4.81,1,1,1
Lake View,41.94133,-87.66427,Entire home/apt,515,2,15,2.42,1,284,15,5.0,3,3,2
Lake View,41.94425,-87.6443,Entire home/apt,66,1,19,2.44,8,6,19,4.84,1,1,1
